0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
필름,점착,adhesive,적층체,基材,접착,粘合剂,접착제,フィルム,树脂层,laminate,기재,laminated,peel,模量,modulus,树脂,玻璃化,경화,雾度
透镜,andttl,lens,焦距,物侧,轴区,镜头,렌즈,abbe,imgh,光轴,굴절,focal,阿贝数,屈光力,imght,凸面,凹面,hfov,imaging
measurement,测量,측정,检测器,deviation,검출기,변동,분포,光刻,detector,방사선,리소그래피,보정,풀이,误差,校正,measure,조명하,scanner,오차
redistribution,vias,conductive,비아,package,通孔,encapsulant,패키지,반도체,导电,bump,半导体,coplanar,dielectric,chip,管芯,semiconductor,凸块,solder,sidewall
催化剂,catalyst,混合物,产物,reaction,反应,乙醇,methanol,mixture,katalysator,甲醇,촉매,alkohol,distillation,反应器,formamid,reactor,losungsmittel,alkane,수득
반사,입사,광원,光学,光束,reflection,incident,optische,波长,波导,传播,光栅,反射镜,mirror,출사,光源,optical,optischen,棱镜,光路
비치,unsubstituted,아릴기,atom,heterocyclic,고리,碳原子,환기,芳基,基团,aryl,중수소,formel,halogen,andar,deuterium,wasserstoff,formula,hetero,화학식
glass,玻璃,glas,カラス,유리,glases,玻璃制品,compressive,cao,glaskeramik,mgo,sio,铝硅酸盐,ceramic,molprozentsatz,bao,li,besonders,zro,sro
解码,编码,디코딩,인코딩,解码器,decode,코딩,decoder,디코더,anddecode,encode,bitstream,编码器,인코더,비트스트림,encoder,encoded,テコータ,decoded,decoding
像素,数据信号,时段,전압,数据线,타이밍,电压,时序,驱动,扫描线,period,pixel,驱动器,신호,동부,信号,电路,导通,driving,구동
聚烯烃,热塑性,共聚物,copolymer,astm,polypropylene,중합체,polyolefin,聚乙烯,聚丙烯,elastomer,copolymer,thermoplastic,폴리프로필렌,올레,styrol,가소성,분자량,弹性体,bezogen
模具,成型,가압,용융,成形,mold,工件,성형,press,preform,vorformlings,용접,가공,softened,weld,熔融,molten,直径,工具,solidified
request,address,요청,access,packet,地址,액세스,标识符,identifier,protocol,标识,指令,处理器,网络,network,服务器,policy,协议,instruction,消息
氢原子,通式,氧原子,divalent,일반,formel,单键,가의,碳原子,기이,단결합,탄소,alicyclic,链状,atom,碳数,一价,알킬렌기,알킬기,价烃
用户,사용자,benutzer,user,ユーサ,차량,用户界面,eyelines,mobile,anddisplay,anzeigen,운전자,감지,화면,판단,fahrer,상황,benutzers,自动,将本车
气体,가스,plasma,deposition,沉积,argon,inert,等离子体,惰性气体,mtorr,증착,precursor,플라즈마,气相,torr,deposit,helium,氩气,아르곤,反应物
이미지,图像,模型,训练,神经网络,bild,모델,획득,场景,bildes,scene,计算机,model,객체,bildern,对象,szene,图像处理,image,マッフ
动力,motor,发动机,电机,모터,torque,engine,扭矩,변속기,clutch,离合器,变速器,电动,클러치,동력,토크,电动机,speed,传动系统,drehmoment
官能,水性,bezogen,官能团,交联剂,丙烯酸酯,聚氨酯,aqueous,polymer,多元醇,zusammensetzung,단량체,폴리올,화제,涂料,관능,monomer,异氰酸酯,丙烯酸,gesamtgewicht
반도체,유전체,dielectric,半导体,dielektrischen,介电层,trench,dielektrische,半导体器件,조물,沟槽,漏极区,epitaxial,外延,트렌치,sidewall,电介质,衬底,스택,结构
药物,학적,药学,acceptable,癌症,疾病,치료,赋形剂,약제학,부형제,病症,药用,질환,激酶,excipient,허용,유효량,性疾病,solvate,stereoisomer
배기,연통,가스,流动,排气,출구,chamber,气体,노즐,inlet,流体,出口,밸브,液体,passage,入口,입구,실의,outlet,챔버
부재,돌출,커버,构件,groove,cover,壳体,框架,protrusion,protrude,rear,support,housing,장착,bent,支架,지지,고정,member,wall
커넥터,connector,plug,mating,コネクタ,壳体,verbinder,弹性,housing,스프링,插座,插头,삽입,cable,단부,基部,弹簧,spring,端子,contact
液晶显示,基板,마주,面板,transparent,패널,电极,彩膜,显示装置,중첩,이격된,panel,디스플레이,竖边,substrate,커버,electrode,图案,후면,플렉서블
antibody,analyte,抗体,蛋白质,항체,protein,特异性,样品,试剂盒,특이,immobilized,단백질,antigen,enzyme,immunosorbent,assay,항원,试剂,polyclonal,血清
conveyor,输送机,move,移动,이동,컨베이어,movable,movement,导轨,transport,belt,반송,이송,carriage,运输,송원,승강,rotate,roller,枢转
声音,sound,扬声器,스피커,transducer,acoustic,麦克风,耳机,声学,microphone,lautsprecher,耳朵,音频,speaker,사운드,audio,loudspeaker,耳道,ohr,audiosignals
电路,voltage,电压,전압,信号,电平,comparator,스위치,전류,电流,switch,导通,电容器,회로,신호,signal,circuit,串联,控制电路,并联
alloy,aluminum,aluminium,합금,合金,manganese,steel,산화물,chromium,titanium,beschichtung,nickel,チタン,マンカン,zinc,aluminium,iron,alloyed,알루미늄,legierung
