0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
필름,adhesive,점착,基材,적층체,접착,접착제,フィルム,粘合剂,laminate,树脂层,기재,laminated,peel,modulus,模量,树脂,玻璃化,경화,雾度
透镜,lens,andttl,焦距,物侧,轴区,렌즈,굴절,光轴,abbe,镜头,imgh,屈光力,focal,阿贝数,imght,凸面,物方,imaging,凹面
measurement,测量,检测器,검출기,측정,detector,방사선,光刻,분포,변동,deviation,리소그래피,조명하,풀이,보정,误差,measure,校正,粒子束,不对称性
redistribution,vias,conductive,비아,package,encapsulant,通孔,패키지,반도체,bump,导电,半导体,coplanar,chip,semiconductor,管芯,dielectric,凸块,solder,sidewall
催化剂,catalyst,混合物,产物,乙醇,reaction,methanol,反应,mixture,katalysator,甲醇,촉매,alkohol,distillation,formamid,反应器,reactor,losungsmittel,ethanol,solvent
반사,입사,광원,光学,光束,reflection,incident,optische,波长,波导,光栅,传播,mirror,反射镜,출사,optical,光源,optischen,棱镜,光路
비치,아릴기,unsubstituted,atom,heterocyclic,고리,基团,환기,碳原子,芳基,중수소,aryl,formel,halogen,deuterium,andar,wasserstoff,单键,formula,화학식
glass,玻璃,glas,カラス,유리,glases,玻璃制品,compressive,cao,glaskeramik,sio,mgo,铝硅酸盐,ceramic,molprozentsatz,bao,li,besonders,liquidus,zro
解码,编码,디코딩,인코딩,decode,解码器,decoder,anddecode,encode,코딩,디코더,编码器,code,encoder,인코더,ヒット,encoded,decoding,码字,bitstream
像素,数据信号,时段,전압,数据线,电压,타이밍,驱动,时序,period,扫描线,驱动器,导通,신호,pixel,电路,信号,동부,driving,显示装置
聚烯烃,热塑性,共聚物,copolymer,astm,중합체,polypropylene,polyolefin,聚乙烯,聚丙烯,elastomer,copolymer,thermoplastic,폴리프로필렌,가소성,styrol,올레,弹性体,분자량,bezogen
模具,가압,成型,용융,工件,成形,성형,mold,press,preform,용접,weld,가공,vorformlings,softened,熔融,molten,直径,工具,solidified
request,address,요청,地址,access,액세스,packet,标识符,identifier,protocol,标识,指令,处理器,网络,network,服务器,instruction,协议,policy,消息
氢原子,通式,氧原子,divalent,일반,单键,formel,가의,碳原子,기이,단결합,탄소,alicyclic,碳数,链状,atom,一价,알킬렌기,价烃,알킬기
用户,사용자,benutzer,차량,user,ユーサ,운전자,eyelines,用户界面,fahrer,mobile,anzeigen,감지,상황,판단,benutzers,自动,anddisplay,fahrzeug,驾驶员
气体,plasma,deposition,가스,沉积,argon,inert,等离子体,惰性气体,mtorr,precursor,증착,torr,플라즈마,气相,deposit,helium,peald,reactant,氩气
模型,이미지,图像,训练,神经网络,모델,bild,场景,model,획득,计算机,scene,bildes,szene,객체,bildern,对象,图像处理,image,representation
动力,motor,电机,发动机,모터,torque,engine,변속기,离合器,扭矩,变速器,동력,clutch,电动,电动机,클러치,传动系统,토크,马达,drehmoment
官能,水性,bezogen,官能团,丙烯酸酯,交联剂,聚氨酯,polymer,多元醇,aqueous,단량체,zusammensetzung,폴리올,涂料,화제,monomer,异氰酸酯,관능,丙烯酸,聚醚
반도체,유전체,半导体,dielectric,dielektrischen,trench,介电层,dielektrische,半导体器件,조물,沟槽,漏极区,epitaxial,外延,트렌치,sidewall,电介质,衬底,스택,结构
药物,학적,药学,acceptable,疾病,癌症,치료,赋形剂,약제학,부형제,病症,药用,질환,激酶,excipient,허용,性疾病,유효량,solvate,stereoisomer
배기,연통,流动,가스,chamber,气体,排气,출구,노즐,inlet,流体,出口,液体,passage,밸브,入口,챔버,입구,outlet,실의
돌출,부재,커버,构件,groove,cover,框架,壳体,protrusion,protrude,rear,support,bent,housing,장착,지지,支架,고정,outward,member
커넥터,connector,plug,コネクタ,mating,壳体,verbinder,스프링,弹性,housing,插座,cable,插头,삽입,단부,弹簧,基部,플러그,spring,端子
液晶显示,基板,transparent,面板,마주,패널,彩膜,电极,显示装置,panel,중첩,이격된,substrate,후면,图案,디스플레이,커버,竖边,플렉서블,area
antibody,analyte,抗体,蛋白质,항체,特异性,protein,样品,immobilized,특이,试剂盒,단백질,antigen,enzyme,assay,immunosorbent,항원,polyclonal,试剂,核酸
conveyor,输送机,move,移动,이동,컨베이어,transport,movable,导轨,belt,movement,运输,반송,이송,carriage,송원,roller,승강,rotate,枢转
声音,扬声器,sound,스피커,transducer,acoustic,耳机,麦克风,声学,lautsprecher,microphone,speaker,耳朵,音频,사운드,loudspeaker,耳道,audio,ohr,진동
电路,voltage,电压,전압,电平,信号,comparator,스위치,전류,电流,switch,电容器,导通,회로,signal,신호,circuit,控制电路,串联,并联
alloy,aluminum,aluminium,合金,합금,steel,manganese,산화물,chromium,チタン,nickel,titanium,beschichtung,マンカン,alloyed,zinc,aluminium,iron,알루미늄,legierung
